Data,Centro de Custo,Empresa,Plano financeiro,Valor
31/12/2025,1000,Young Empreendimentos e Participações Ltda,Receita Federal,"R$ 17.199,24"
26/12/2025,2002,Young Incorporações e Construções Ltda,Cartórios e Registros,"64,16"
26/12/2025,2002,Young Incorporações e Construções Ltda,"Taxas Municipais, Estaduais e Federais","75,25"
26/12/2025,1000,Young Empreendimentos e Participações Ltda,Combustíveis e Lubrificantes - Administrativo,"206,82"
26/12/2025,1000,Young Empreendimentos e Participações Ltda,Honorários  advocatícios e custas judiciais,"1.032,35"
26/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"5,50"
26/12/2025,1000,Young Empreendimentos e Participações Ltda,"Taxas Municipais, Estaduais e Federais","197,50"
26/12/2025,1000,Young Empreendimentos e Participações Ltda,Honorários  advocatícios e custas judiciais,"1.500,00"
24/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"5,50"
24/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"5,50"
24/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"5,50"
23/12/2025,1000,Young Empreendimentos e Participações Ltda,"Taxas Municipais, Estaduais e Federais","197,50"
22/12/2025,1000,Young Empreendimentos e Participações Ltda,Honorários  advocatícios e custas judiciais,"1.637,18"
22/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"2,40"
20/12/2025,1000,Young Empreendimentos e Participações Ltda,Recolhimento Retençao IR,"16,50"
20/12/2025,1000,Young Empreendimentos e Participações Ltda,Recolhimento Retençao IR,"26,17"
20/12/2025,2002,Young Incorporações e Construções Ltda,Recolhimento Retençao IR,"45,00"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Multas,"208,25"
19/12/2025,2002,Young Incorporações e Construções Ltda,Cartórios e Registros,"R$ 328,28"
19/12/2025,2002,Young Incorporações e Construções Ltda,Projetos,"6.569,50"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Encargos Sociais INSS,"R$ 470,58"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"R$ 5,50"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"R$ 5,50"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"R$ 2,40"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"R$ 2,40"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"R$ 2,40"
19/12/2025,1000,Young Empreendimentos e Participações Ltda,Despesas com Viagens,"R$ 5,70"
18/12/2025,1000,Young Empreendimentos e Participações Ltda,IPVA,"R$ 738,41"
